CountyYear,Pop,All industry total,Private industries,"                Agriculture, forestry, fishing and hunting","                Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"                Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"                        Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,"                Educational services, health care, and social assistance",Educational services,Health care and social assistance,"                Arts, entertainment, recreation, accommodation, and food services","                        Arts, entertainment, and recreation",Accommodation and food services,Other services (except government and government enterprises),Government and government enterprises
Carbon2016,20349,"1,013,290","881,666","2,029","344,827","27,681","32,503","34,547","27,570","6,978","43,675","55,173","29,540","5,325","142,632","12,434","130,199","50,227","15,376","14,766","20,085","70,021",S,S,"17,531","1,878","15,653","25,954","131,624"
Carbon2017,20171,"1,028,820","894,028","2,861","352,485","29,313","30,727","33,955","27,861","6,094","39,018","53,747","34,311","4,550","153,715","12,175","141,540","38,586","15,247","2,681","20,658","73,439",S,S,"17,711","1,751","15,960","29,609","134,792"
Carbon2018,20248,"1,093,892","956,807","1,640","391,999","32,118","31,251","39,780","32,638","7,142","40,209","58,145","48,742","3,804","142,539","13,138","129,401","39,567","18,074","2,161","19,332","75,265",S,S,"19,638","1,848","17,791","32,108","137,084"
Carbon2019,20476,"1,189,652","1,051,098",631,"455,662","36,575","30,225","45,661","36,776","8,886","40,901","58,750","48,776","5,856","154,714","13,231","141,483","42,296","18,301","5,164","18,831","76,434",S,S,"21,050","1,675","19,375","33,565","138,555"
Carbon2020,20488,"1,126,673","982,998",428,"394,764","41,673","29,460","47,343","38,884","8,458","39,487","64,400","32,506","6,558","149,957","14,289","135,668","41,029","17,966","6,225","16,837","77,168",S,S,"19,231","1,549","17,681","38,995","143,675"
Carbon2021,20361,"1,288,398","1,138,642",467,"507,938","47,181","38,086","49,832","42,658","7,174","43,852","82,166","37,503","4,085","147,172","15,020","132,152","38,614",S,S,"18,564","82,350",S,S,"22,954","1,741","21,213","36,444","149,755"
Carbon2022,20571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daggett2000,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daggett2001,929,"38,245","27,094",S,845,"4,685",S,S,S,415,98,S,S,S,"7,854",0,"7,854",S,S,0,71,12,7,5,"5,389","1,605","3,784",S,"11,151"
Daggett2002,907,"40,253","28,497",873,863,"3,650",S,S,S,578,100,S,S,S,"9,650",0,"9,650",S,S,0,78,11,8,3,"5,376","1,663","3,714",S,"11,757"
Daggett2003,914,"40,701","27,944",514,"1,600",S,S,S,S,407,51,S,S,S,"10,088",0,"10,088",S,S,0,74,8,8,0,"4,794","1,638","3,156",S,"12,757"
Daggett2004,952,"40,302","27,058",S,"2,265","4,267",S,S,S,196,49,S,S,S,"8,994",8,"8,986",S,S,0,79,23,23,0,"4,775","1,636","3,139",S,"13,244"
