CountyYear,Pop,All industry total,Private industries,"                Agriculture, forestry, fishing and hunting","                Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"                Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"                        Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,"                Educational services, health care, and social assistance",Educational services,Health care and social assistance,"                Arts, entertainment, recreation, accommodation, and food services","                        Arts, entertainment, and recreation",Accommodation and food services,Other services (except government and government enterprises),Government and government enterprises
Kane2003,6133,"171,666","137,014",S,105,"1,030",S,"9,834",S,S,"1,471","12,910",S,S,"39,748","6,209","33,538",S,S,"8,780",459,"1,695",62,"1,633","28,705","13,446","15,259","14,594","34,653"
Kane2004,6200,"166,680","132,071",S,0,S,"5,053","10,032",S,S,S,"16,054","2,987",998,"40,139","7,439","32,700","1,889","1,236",0,653,"1,875",333,"1,542","25,372","12,078","13,294","16,433","34,608"
Kane2005,6369,"188,421","150,433","12,147",0,"1,384","6,933","11,289",S,S,"1,936","15,304",S,S,"49,329","7,821","41,508","2,163","1,424",0,739,S,677,S,"26,302","11,447","14,856","16,826","37,988"
Kane2006,6678,"229,384","189,310",S,0,"1,616","12,150","10,885",S,S,"1,970","16,180",S,"2,226","54,286","8,409","45,877","3,205","2,357",0,848,S,S,S,"29,741","12,759","16,982","19,718","40,074"
Kane2007,6778,"227,362","185,147",S,"1,850","1,576","21,611",S,S,S,"1,929","15,091",S,"1,724","61,010","7,873","53,137","4,466","3,835",0,631,S,S,S,"32,673",S,S,"22,843","42,216"
Kane2008,6853,"221,160","177,636","2,193",750,"2,316","11,497","8,125",S,S,"1,756","13,634",S,"2,158","61,328","6,593","54,735","3,596","2,882",0,714,S,S,S,"35,541","6,418","29,123","26,309","43,524"
Kane2009,7001,"214,089","169,547",S,"1,781","2,338","6,124","7,704",S,S,"1,504","12,802",S,"1,770","59,904","4,985","54,919","3,729","2,924",0,806,S,S,S,"32,995","5,601","27,394","25,670","44,542"
Kane2010,7214,"223,543","177,765",S,"1,879",S,"8,587",S,S,113,S,"12,352","3,256","1,856","64,210","5,010","59,200","4,639","3,655",0,984,"6,516",S,S,"36,472","5,030","31,442","24,802","45,778"
Kane2011,7297,"240,298","193,262",S,"3,850","3,104","10,521",S,S,122,S,"12,537",S,S,"68,253","5,413","62,840","5,157","3,539",0,"1,618","5,523",S,S,"40,558","4,509","36,049","25,506","47,036"
Kane2012,7177,"252,397","204,259",S,"15,002","2,879","7,766",S,S,202,"2,163","12,578",S,"2,749","63,833","5,904","57,929","5,718","3,658",0,"2,061","4,168",181,"3,987","48,107","4,435","43,672","25,131","48,137"
Kane2013,7128,"262,336","214,582",S,"21,483","3,486","6,869",S,S,348,"2,137","13,675",S,"3,008","61,716","5,931","55,786","6,605","4,386",0,"2,219","4,978",224,"4,754","49,439","3,633","45,807","25,284","47,754"
Kane2014,7172,"285,323","236,499",S,"19,544","4,142",S,"9,783","9,322",461,"2,245","15,009",S,"2,817","58,362","6,341","52,021","18,883","4,232","12,052","2,598","5,066",196,"4,870","52,029","4,076","47,953","27,270","48,824"
Kane2015,7045,"291,735","242,109",S,"15,153","4,779","9,277","9,541","8,867",674,"2,169","16,102",S,"2,270","59,700","6,640","53,060","18,617","5,121","10,577","2,919","5,336",237,"5,099","58,033","4,940","53,093","28,961","49,626"
Kane2016,7306,"311,919","260,503",S,"29,005",S,S,"9,966",S,S,S,"17,591","5,574","2,401","62,907","7,296","55,611","20,549","5,159","12,147","3,242","5,725",185,"5,540","59,157","5,356","53,801","29,944","51,416"
Kane2017,7535,"336,294","282,569",S,"31,555",S,"12,686","11,005",S,S,S,"17,703","5,101","2,208","63,611","7,289","56,322","21,922","5,104","12,852","3,966","6,399",188,"6,211","67,317","6,761","60,556","34,041","53,725"
Kane2018,7663,"360,445","308,393","3,820","23,621","8,704","21,453","9,325",S,S,S,"18,068","4,662","3,522","71,123","7,890","63,233",S,"5,873",S,S,"7,074",181,"6,893","78,036","7,094","70,942","36,918","52,052"
Kane2019,7873,"370,703","317,213","4,526","13,349","11,886","17,599","9,617",S,S,S,"18,714",S,"3,566","75,628","7,986","67,642","20,974",S,S,"4,546","6,909",250,"6,659","85,271","7,325","77,946","43,513","53,490"
Kane2020,7688,"399,738","341,680","8,990","26,914","16,573","21,423","10,703",S,S,S,"19,398",S,"3,802","83,894","8,354","75,540","18,774",S,S,"4,961","8,649",263,"8,386","69,440","7,823","61,617","47,573","58,058"
Kane2021,7999,"482,127","420,180","17,534",S,"17,346","32,730","17,648","14,689","2,959","2,380","22,271",S,"4,408","92,315","9,068","83,247","21,048","9,249","5,839","5,960","8,507",276,"8,231","100,382","16,378","84,004","56,250","61,947"
Kane2022,8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millard2000,12385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millard2001,12294,"528,080","475,592","44,939","11,425","286,821","2,536","7,598",S,S,"5,914","22,628",S,"2,770","39,102",S,S,"18,004",S,S,S,"8,070",0,"8,070",S,S,S,"8,369","52,488"
Millard2002,12223,"539,838","487,261","51,701","8,912","270,300","15,045","9,231",S,S,"6,089","23,369",S,"2,511","41,588",S,S,S,S,S,"5,588","8,782",1,"8,781","6,205",480,"5,724","9,045","52,576"
Millard2003,12168,"523,381","470,037","39,387","9,223","262,959","7,273","10,447",S,S,"5,686","26,676",S,"2,951","45,761",S,S,S,S,S,"6,266","10,442",12,"10,429","5,798",501,"5,297","10,452","53,344"
Millard2004,12017,"601,932","543,974","47,074","13,179","311,090","5,071","12,005",S,S,"5,864","25,269",S,"2,878","46,313",S,S,"29,800",S,S,"8,254","12,438",33,"12,405",S,S,S,"12,485","57,959"
Millard2005,11935,"599,890","536,631","41,269","21,517","299,285","7,895","11,534",S,S,"6,076","22,981",S,"3,968","52,236",S,S,"22,214",S,S,"8,450","14,021",43,"13,978",S,S,S,"10,649","63,259"
Millard2006,11946,"642,244","578,418","37,162","24,326","336,307","5,936","12,398",S,S,"6,100","21,883",S,"5,337","55,210","8,874","46,336","25,054",S,S,"9,576","13,010",S,S,S,S,S,"10,482","63,826"
Millard2007,11954,"701,620","639,187","85,384","26,607","330,161","6,083","15,919",S,S,S,"21,267",S,"5,224","62,548","7,695","54,853","25,568",S,S,"10,575","14,960",S,S,"7,205",S,S,"10,385","62,433"
Millard2008,12146,"712,944","647,605","69,655","29,631","336,538","5,667","13,726",S,S,S,"20,679","30,402","4,900","65,687",S,S,"30,140",S,S,"12,429",S,S,S,"7,445",474,"6,971","11,269","65,339"
Millard2009,12343,"732,933","666,491","38,950","35,060","366,094","8,247","16,328",S,S,S,"20,310","42,525","4,982","64,215",S,S,"28,625",S,S,"12,367",S,S,S,"6,910",411,"6,499","11,274","66,441"
Millard2010,12541,"756,229","690,308","20,322","42,415","399,295","14,468","20,427",S,S,S,"20,349","25,938","4,405","69,733","3,909","65,824","31,316",S,S,"11,982","16,376",S,S,S,S,S,"10,996","65,920"
Millard2011,12571,"855,463","786,106","80,566","48,771","430,678","10,522","23,526","8,788","14,738",S,"20,638","21,774","3,585","70,373","4,258","66,115",S,S,S,"12,280","18,143",S,S,"7,512",830,"6,681","10,488","69,357"
Millard2012,12468,"743,656","675,511","62,436","35,814","365,818","9,340","21,269",S,S,S,"21,465","23,988","2,501","49,189","4,441","44,748","37,270",S,S,"16,158",S,S,S,"8,154","1,243","6,911","11,383","68,145"
Millard2013,12556,"865,702","797,778","90,181","40,043","446,303","11,781","18,097","9,979","8,118",S,"22,642","28,934","2,534","49,966","4,166","45,800","39,450",S,S,"17,920",S,S,S,"8,257","1,115","7,143","11,640","67,924"
Millard2014,12540,"862,298","797,295","76,973","56,419","443,426","7,821","20,715","10,900","9,815",S,"21,719","29,504","3,229","48,604",S,S,"38,537",S,S,"18,884",S,S,S,"8,427",617,"7,811","11,719","65,004"
Millard2015,12621,"876,578","809,298","82,748","39,168","432,255","9,194","21,608","11,151","10,457",S,"24,091","49,351","3,454","49,447","4,731","44,716","37,921",S,S,"19,788",S,S,S,"9,427",269,"9,158","12,001","67,280"
Millard2016,12641,"804,215","734,427","29,880","40,769","397,716","12,839","21,489","12,097","9,391",S,"26,244","39,799","2,263","53,080",S,S,"41,758",S,S,"21,848",S,S,S,"9,548",303,"9,245","11,952","69,788"
Millard2017,12805,"848,512","773,468","17,765","56,524","411,355","14,262","26,159","15,503","10,656",S,"28,746","36,692","1,962","55,590",S,S,"43,617",S,S,"23,186",S,S,S,"11,372",363,"11,009","13,003","75,044"
Millard2018,12941,"853,025","783,592","35,291","53,293","400,970","12,213","26,417","16,236","10,181",S,"32,346","29,003","1,979","65,239",S,S,"46,290",S,S,"27,048","28,771",S,S,S,S,S,"12,597","69,433"
Millard2019,13100,"913,968","846,581","71,510","55,309","406,653","11,469","25,730","14,615","11,114",S,"34,436","36,497","2,372",S,S,"61,775","48,398",S,S,"28,778","30,056",S,S,"12,723",S,S,"13,255","67,387"
Millard2020,13049,"919,435","851,752","53,981","56,405","417,789","12,028","27,985","15,445","12,540",S,"36,231","41,730","2,317","70,285","8,871","61,414","47,307",S,S,"31,762",S,S,S,"10,708",474,"10,234","15,226","67,682"
Millard2021,13175,"1,046,927","970,761","73,977","56,152","486,947","14,219","29,000","15,215","13,785",S,"41,055","42,338","2,380","76,805","9,835","66,970","50,628",S,S,"34,129",S,S,S,"12,525",534,"11,991","15,915","76,166"
Millard2022,13330,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan2000,7165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan2001,7337,"116,825","99,782","5,594",283,217,"13,923","13,819","12,538","1,280",S,"5,912",S,63,"21,639",S,S,"14,427",S,S,973,S,0,S,"2,295",496,"1,799",S,"17,043"
Morgan2002,7488,"121,830","104,460","6,569",245,261,"11,401","14,818",S,S,"16,317","6,395",314,S,"22,305","3,706","18,599","15,368",S,S,"1,366","2,067",1,"2,066","1,983",432,"1,551",S,"17,371"
Morgan2003,7572,"128,641","111,087","7,570",384,345,"12,049","15,331",S,S,"18,064","6,363",702,S,"24,165","4,565","19,600","14,962",S,S,"2,088","2,532",S,S,"2,097",426,"1,671",S,"17,554"
Morgan2004,7725,"131,730","113,324","2,655",288,442,"17,246","19,254","17,530","1,725","20,131","6,526",673,394,"25,571","5,464","20,107","8,721",S,S,"3,045","2,830",S,S,"2,167",394,"1,773","6,426","18,407"
Morgan2005,7977,"155,971","136,189","5,133",423,558,"18,886","19,204",S,S,"20,773","7,855","1,174",S,"31,862","5,629","26,233","18,771",S,S,"2,925","3,242",S,S,"2,293",315,"1,979",S,"19,783"
Morgan2006,8342,"170,599","149,563","9,405",466,722,"22,960","19,208",S,S,"19,840",S,"1,120",S,"34,517","7,901","26,616","19,977",S,S,"1,962","3,935",S,S,"2,705",310,"2,395",S,"21,036"
Morgan2007,8771,"191,563","169,009","14,391",401,406,"35,596","21,540",S,S,"18,724","9,010","1,399",S,"33,686","8,049","25,636","19,163","6,532",S,S,"4,736",S,S,"2,932",365,"2,567",S,"22,555"
Morgan2008,9126,"183,733","160,071","14,655",769,731,"29,466","20,770",S,S,"18,396","8,983","1,144",S,"39,803","7,848","31,955","9,360","5,371",S,S,S,S,S,"3,229",S,S,S,"23,662"
Morgan2009,9318,"189,402","165,386","12,088","1,068",831,"22,061","20,547",S,S,"16,412","8,332","1,005",S,"47,546","9,541","38,005","19,208","5,443",S,S,"5,075",S,S,"3,384",S,S,S,"24,016"
Morgan2010,9523,"215,759","190,439","18,921","1,668",817,"29,362","24,473",S,S,"16,743","8,043",572,S,"50,382","12,278","38,104","21,532","5,055",S,S,"5,759",S,S,"3,524",S,S,S,"25,321"
Morgan2011,9655,"210,798","185,171","16,011","2,947","1,282","25,871","22,433",S,S,"19,441","8,920",511,S,"48,777","6,193","42,584","20,136","3,669",S,S,S,S,S,"4,036",947,"3,089",S,"25,627"
Morgan2012,9812,"229,606","204,256","17,996","2,500",888,"29,200","26,004",S,S,"24,235","10,137",524,S,"51,611","11,945","39,666",S,"3,126",S,S,"5,763",S,S,"4,685","1,304","3,381",S,"25,350"
Morgan2013,10215,"232,715","205,343","11,608","3,376","1,020","32,507","24,053","21,138","2,914","26,508","10,819",622,S,"51,067","9,241","41,826","22,992","4,713",S,S,"5,785",S,S,"4,755","1,435","3,320",S,"27,373"
Morgan2014,10609,"256,237","228,038","8,501","8,432",S,"40,371","24,781","22,358","2,423","27,376","10,800",933,S,"59,486","13,622","45,864",S,"9,428",S,S,"6,280",S,S,"4,943","1,280","3,664","9,920","28,198"
Morgan2015,11048,"258,281","229,472","3,264","4,796",S,"37,827","26,082","23,884","2,199","27,403","11,789","1,546",S,"67,625","17,098","50,527","24,403","10,675",S,S,"6,240",S,S,"4,912","1,108","3,804","11,026","28,810"
Morgan2016,11368,"265,385","234,916","3,287","3,949","1,628","44,780","26,156","24,282","1,874","24,609","11,923","1,268",S,"65,527","16,216","49,311",S,"12,636",S,S,"7,253",371,"6,882","5,032","1,142","3,890",S,"30,469"
Morgan2017,11836,"291,875","258,521","5,828","5,751","2,921","46,068","30,631","28,711","1,921","26,677","13,985","1,825",706,"67,336","16,981","50,355","33,210","15,303",S,S,"7,364",346,"7,018","4,932","1,130","3,802","11,288","33,355"
Morgan2018,11971,"321,816","287,411","5,661","4,372","4,547","58,938","33,100","30,874","2,226","31,506","17,560","1,397",512,"68,328","17,002","51,326","34,793","19,429",S,S,"10,013",527,"9,486","5,535","1,647","3,889","11,147","34,404"
Morgan2019,12115,"341,017","303,696","1,717","16,586",S,"57,481","27,236","24,597","2,639","40,627","19,343","3,227",S,"66,301","14,470","51,830","36,911","20,871",S,S,"9,948",575,"9,373","5,792","1,582","4,211",S,"37,321"
Morgan2020,12381,"367,426","326,375","1,528","16,798","10,770","64,029","26,139","23,039","3,099","44,961","19,411","6,147",S,"70,166","19,353","50,814",S,"23,870",S,S,"9,396",516,"8,880","5,818","1,909","3,909",S,"41,051"
Morgan2021,12667,"400,576","356,019","2,759","17,908","10,942","63,917","26,247","23,111","3,136","54,464","23,466","6,819","1,377","71,061","20,436","50,625","42,194","29,873",S,S,"12,260","1,063","11,197","8,145","3,369","4,776","14,460","44,557"
Morgan2022,12832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piute2000,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piute2001,1414,"21,918","16,787",S,0,0,S,15,1,14,18,S,S,16,"5,324",S,S,44,S,0,S,145,2,143,S,S,S,S,"5,130"
Piute2002,1417,"19,420","13,538",S,0,0,S,10,1,9,19,S,S,19,"5,843",S,S,S,1,0,S,S,3,S,424,18,406,S,"5,882"
Piute2003,1409,"22,657","16,472",S,0,0,94,S,S,8,20,S,S,16,"6,166",S,S,S,5,0,S,S,2,S,465,9,456,S,"6,185"
Piute2004,1430,"25,990","20,100","6,822",673,0,S,S,S,5,44,S,S,0,"6,326",S,S,37,13,0,24,S,3,S,536,0,536,S,"5,890"
Piute2005,1430,"41,375","35,139",S,950,0,"1,227",S,S,21,S,S,S,0,"7,862",S,S,S,S,"8,583",47,S,28,S,650,94,556,S,"6,236"
Piute2006,1429,"25,830","19,183",651,"2,334",0,S,S,S,13,S,S,"3,054",0,"8,442",S,S,S,S,0,38,S,30,S,995,76,919,S,"6,648"
Piute2007,1419,"42,817","35,914","7,229","2,940",0,S,S,S,10,S,S,"2,897",0,"9,800",S,S,S,S,"8,726",26,S,27,S,"1,126",70,"1,056",S,"6,902"
Piute2008,1511,"29,644","21,996",388,"3,799",0,S,S,S,8,S,S,"2,752",0,"10,314",S,S,S,S,0,16,S,6,S,"1,085",S,S,S,"7,648"
Piute2009,1528,"41,946","34,384",S,"3,382",0,S,61,44,17,S,S,"2,704",0,"10,158",S,S,S,S,"10,040",42,S,11,S,"1,270",S,S,S,"7,562"
Piute2010,1563,"32,428","24,583",S,0,0,"3,404",37,22,15,S,S,"1,969",0,"11,144",S,S,S,S,0,110,S,32,S,"1,145",466,680,S,"7,844"
Piute2011,1497,"31,236","23,307",S,0,S,S,40,29,12,S,S,"1,820",0,"11,309",S,S,S,S,0,103,S,45,S,"1,583",S,S,S,"7,929"
Piute2012,1495,"24,054","16,454",S,S,0,S,133,53,80,S,S,S,81,"8,486",S,S,S,S,0,147,S,89,S,"1,594",S,S,S,"7,601"
Piute2013,1486,"24,319","16,601",S,0,0,S,275,221,54,S,S,S,184,"8,623",S,S,S,S,0,230,S,136,S,"1,694",S,S,S,"7,718"
Piute2014,1465,"28,391","20,267",S,0,0,S,187,139,48,S,S,S,236,"8,285",S,S,817,S,0,S,S,213,S,"1,044",S,S,S,"8,124"
Piute2015,1489,"50,631","42,585",S,0,0,S,451,451,0,159,S,S,298,"8,478",S,S,724,S,0,S,S,254,S,991,S,S,S,"8,046"
Piute2016,1457,"64,415","56,415","39,391",0,0,S,S,S,0,124,S,S,198,"8,791",S,S,683,S,0,S,S,216,S,S,S,S,S,"8,000"
Piute2017,1406,"80,346","72,141","55,021",0,0,S,S,S,0,103,S,S,134,"8,833",S,S,S,S,0,S,S,158,S,622,228,394,S,"8,205"
Piute2018,1434,"81,906","74,969","54,434",0,0,S,S,S,42,80,"1,165",S,121,"9,947",S,S,666,S,0,S,S,165,S,"1,448",924,524,S,"6,936"
Piute2019,1472,"72,141","63,097","41,753",0,0,S,S,S,45,68,S,S,88,S,S,"9,978",S,S,0,S,S,144,S,S,920,S,S,"9,044"
Piute2020,1433,"67,066","59,737","37,012",81,0,S,S,S,85,14,S,S,97,"11,152",S,S,487,S,0,S,S,115,S,"1,922",S,S,S,"7,328"
Piute2021,1482,"71,595","63,963","39,402",222,0,S,S,S,82,29,S,S,99,"12,363",S,S,S,S,0,S,S,120,S,"2,129",S,S,S,"7,632"
Piute2022,1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rich2000,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rich2001,1932,"70,817","62,584",S,0,263,"1,573",S,S,S,S,"1,582",S,0,"33,705",S,S,S,4,"10,476",S,S,S,S,"2,379",S,S,"2,228","8,234"
Rich2002,1947,"54,029","45,546",S,0,280,"1,720",S,S,236,S,"1,603",S,0,"23,263",S,S,S,4,"10,488",S,918,S,S,S,S,S,"2,346","8,483"
Rich2003,2039,"49,460","40,645",S,0,276,"1,904",S,S,S,S,"1,457",S,S,"23,076",S,S,S,3,0,S,"1,229",S,S,"2,584",S,S,"2,406","8,815"
Rich2004,2051,"56,400","47,013",S,103,S,"3,679",S,S,S,S,"1,931",571,0,"21,700",S,S,314,2,0,312,"1,880",S,S,"3,241",S,S,"2,325","9,387"
Rich2005,2055,"64,714","54,756",S,181,S,"3,415",S,S,S,S,"1,992","1,089",295,"27,825",S,S,479,7,0,472,"1,846",S,S,S,S,S,"2,138","9,958"
Rich2006,2035,"66,392","56,110",S,236,211,"4,539",S,S,S,S,"1,927",892,453,"29,195",S,S,S,S,S,528,"2,128",S,S,S,S,S,"2,223","10,282"
Rich2007,2124,"66,076","55,426",S,361,230,"5,993",S,S,4,S,"2,006","1,436",506,"32,738",S,S,S,S,S,825,"2,203",S,S,"5,749",S,S,"2,386","10,650"
Rich2008,2227,"84,754","73,210",S,"5,032",304,"4,535",S,S,20,2,"1,945",S,309,"32,619",S,S,S,S,S,860,"2,763",S,S,"5,856",S,S,"2,325","11,544"
Rich2009,2253,"76,981","65,276",S,"1,948",372,"2,470",S,S,29,0,"2,377",S,313,"30,779",S,S,S,S,"10,034",S,"2,562",S,S,"4,541",S,S,"2,586","11,705"
Rich2010,2255,"78,770","66,597","2,682",843,329,S,S,S,S,0,"2,256",S,169,"34,452",S,S,S,S,S,354,"2,367",S,S,S,S,S,"2,641","12,173"
Rich2011,2295,"85,824","73,793",S,504,331,"3,649",S,S,25,0,"2,311",S,178,"34,676",S,S,S,S,S,418,"1,347",S,S,"4,565",S,S,"2,523","12,031"
Rich2012,2258,"78,143","66,047",S,452,350,"4,008",S,S,36,16,"2,336",S,56,"40,456",S,S,S,S,0,S,"1,167",S,S,"5,025",S,S,"2,717","12,097"
Rich2013,2263,"115,670","102,606",S,595,349,"4,746",S,S,24,29,"2,535",S,163,"42,429",S,S,S,S,S,613,"1,339",S,S,"5,748",S,S,"2,817","13,064"
Rich2014,2274,"131,063","117,425",S,505,364,"4,615",S,S,75,59,"2,627",S,141,"47,271",S,S,S,S,S,855,"1,379",S,S,"6,077",S,S,"3,069","13,638"
Rich2015,2301,"141,319","127,393","41,384",439,379,S,S,S,56,73,"2,937",S,109,"50,283",S,S,S,S,S,"1,005","1,756",S,S,"7,304",S,S,"3,602","13,927"
Rich2016,2311,"139,152","125,258","34,887",500,S,S,S,S,67,S,"3,872",908,158,"50,052",S,S,"14,759",S,S,"2,150","1,979",S,S,"6,535",S,S,"4,311","13,894"
Rich2017,2388,"141,644","127,775",S,760,466,"8,385",S,S,94,S,"3,849","1,223",S,"53,834",S,S,"15,453",S,S,"2,475",S,S,"1,140","7,920",654,"7,267","4,591","13,869"
Rich2018,2455,"148,333","134,852",S,"1,129","1,753","8,822",S,S,111,S,"4,635",S,159,"56,426",S,S,"12,988",S,S,"2,159",884,S,S,"9,402",954,"8,448",S,"13,481"
Rich2019,2468,"149,971","135,790",S,"1,532","4,307","11,890",S,S,169,238,"4,377","1,976",88,S,S,"52,750","13,051",S,S,"2,858",848,S,S,"9,467","1,254","8,213",S,"14,180"
Rich2020,2500,"150,009","135,191",S,"1,611","8,278","11,732",S,S,S,226,"4,648","2,249",S,"54,536",S,S,"9,103",S,S,"2,737",S,S,S,"9,146","1,718","7,428","4,780","14,818"
Rich2021,2581,"160,920","145,044","26,217","1,768","7,330","13,370","1,270",S,S,S,"6,258",S,S,"57,512",S,S,"10,009",S,S,"3,282",S,329,S,"11,983","2,071","9,912","5,092","15,876"
Rich2022,2628,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt2000,901018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt2001,910750,"38,740,910","33,901,496","26,774","285,384","238,877","2,178,857","3,413,196","2,180,024","1,233,172","2,708,400","2,803,671","1,673,847","1,823,896","9,514,597","5,462,251","4,052,347","4,829,274","2,464,845","1,022,337","1,342,092","2,058,865","242,954","1,815,910","1,246,601","270,536","976,065","1,099,256","4,839,414"
Salt2002,918152,"40,294,301","35,261,878","7,726","231,710","259,711","2,007,047","3,658,457","2,460,254","1,198,202","2,667,631","2,840,682","1,730,797","2,051,831","10,310,155","6,182,636","4,127,519","4,672,431","2,462,773","889,038","1,320,619","2,188,432","251,007","1,937,425","1,445,768","399,635","1,046,133","1,189,500","5,032,423"
Salt2003,924802,"41,318,399","36,102,105","4,151","236,419","156,807","2,114,942","4,097,066","2,732,723","1,364,342","2,751,967","2,965,934","1,764,274","2,037,079","10,416,401","6,244,593","4,171,808","4,740,966","2,549,735","919,425","1,271,807","2,338,186","264,733","2,073,453","1,284,891","270,177","1,014,713","1,193,023","5,216,294"
Salt2004,934140,"45,110,921","39,613,304","4,239","320,140","166,415","2,376,907","4,282,999","2,699,430","1,583,569","3,023,859","3,194,248","2,037,624","2,193,798","12,010,575","7,553,463","4,457,113","4,924,253","2,698,636","957,676","1,267,941","2,546,522","298,723","2,247,799","1,286,645","277,188","1,009,457","1,245,079","5,497,617"
Salt2005,947963,"49,391,924","43,491,062","6,588","511,770","177,249","2,765,585","4,712,424","3,031,850","1,680,574","3,415,436","3,459,706","2,246,203","2,410,527","12,930,499","7,689,685","5,240,815","5,474,435","3,030,202","1,011,398","1,432,835","2,749,859","328,638","2,421,221","1,359,566","294,045","1,065,521","1,271,215","5,900,862"
Salt2006,966798,"55,319,190","48,982,122","6,795","718,568","223,905","3,322,281","5,413,275","3,473,953","1,939,322","3,722,389","3,865,203","2,399,876","2,687,070","14,536,874","8,862,665","5,674,208","6,202,235","3,418,771","1,131,570","1,651,894","3,012,563","359,046","2,653,518","1,534,544","327,187","1,207,357","1,336,545","6,337,067"
Salt2007,983719,"59,384,408","52,710,551","17,271","796,399","213,041","3,686,842","6,136,589","4,154,585","1,982,005","4,048,489","4,194,246","2,591,076","2,525,535","15,485,468","9,204,117","6,281,351","6,826,525","3,749,870","1,226,021","1,850,634","3,167,231","388,862","2,778,368","1,631,144","339,989","1,291,155","1,390,694","6,673,857"
Salt2008,999553,"59,696,118","52,562,202","12,434","916,809","234,083","3,358,444","6,143,730","4,271,497","1,872,233","4,257,409","4,024,742","2,287,713","2,725,817","14,778,826","7,749,028","7,029,798","7,234,342","4,150,143","1,249,998","1,834,200","3,516,013","504,296","3,011,717","1,630,130","368,247","1,261,883","1,441,710","7,133,916"
Salt2009,1016795,"57,568,914","50,315,414","10,226","1,004,738","236,700","2,800,904","6,970,555","4,612,760","2,357,795","3,999,668","3,964,362","2,254,552","2,504,595","12,861,879","6,412,697","6,449,182","6,887,980","3,992,493","1,243,127","1,652,361","3,814,620","570,817","3,243,803","1,556,135","390,874","1,165,262","1,448,500","7,253,500"
Salt2010,1032997,"59,565,237","52,112,814","6,000","1,267,761","241,204","2,623,534","7,653,718","5,002,303","2,651,415","4,082,987","4,179,114","2,534,645","2,497,580","12,938,100","6,268,072","6,670,028","7,144,205","4,091,004","1,370,587","1,682,614","3,907,411","635,684","3,271,728","1,580,495","376,995","1,203,500","1,456,059","7,452,423"
Salt2011,1047702,"63,723,067","55,983,686","15,104","1,423,881","229,193","2,770,359","8,335,102","5,302,861","3,032,241","4,260,790","4,460,967","2,731,274","2,526,063","14,459,166","7,475,046","6,984,120","7,524,944","4,341,555","1,368,174","1,815,215","4,115,655","689,812","3,425,844","1,631,770","362,043","1,269,727","1,499,416","7,739,381"
Salt2012,1064140,"67,246,167","59,503,276","8,676","1,233,739","225,486","3,115,006","7,553,651","5,039,997","2,513,654","4,587,185","5,049,610","2,852,959","2,478,116","16,539,162","9,082,652","7,456,510","8,160,464","4,687,199","1,530,603","1,942,662","4,286,644","714,033","3,572,611","1,777,834","408,499","1,369,336","1,634,745","7,742,891"
Salt2013,1079661,"69,628,823","61,654,447","6,089","1,220,412","246,215","3,077,756","7,428,470","4,719,288","2,709,183","4,762,906","5,064,175","2,969,837","2,784,976","16,893,867","9,091,041","7,802,826","9,051,255","5,311,825","1,582,080","2,157,350","4,541,186","763,261","3,777,925","1,886,480","447,244","1,439,236","1,720,824","7,974,376"
Salt2014,1090340,"73,153,621","64,742,845","5,240","1,351,255","258,267","3,532,836","7,362,439","4,618,308","2,744,131","4,932,488","4,941,094","3,090,353","2,954,935","18,151,870","10,262,361","7,889,509","9,734,172","5,762,565","1,587,127","2,384,480","4,584,085","774,703","3,809,381","1,991,181","456,070","1,535,111","1,852,630","8,410,777"
Salt2015,1102690,"77,540,367","68,778,283","7,052","939,691","290,237","4,058,417","7,711,611","4,974,520","2,737,092","5,130,111","5,101,588","3,622,658","3,319,997","19,418,183","11,214,990","8,203,193","10,187,165","6,038,892","1,587,919","2,560,353","4,857,120","841,303","4,015,817","2,199,628","489,035","1,710,593","1,934,825","8,762,084"
Salt2016,1120751,"82,813,719","73,581,645",S,"924,851",S,"4,364,469","7,318,706","4,768,804","2,549,902","5,402,622","5,642,843","3,880,184","3,821,064","21,583,638","12,408,450","9,175,188","10,653,970","6,235,496","1,646,858","2,771,616","5,289,732","932,252","4,357,480","2,401,676","591,758","1,809,918",S,"9,232,074"
